t,delta,zeta_plus_re,zeta_plus_im,zeta_minus_re,zeta_minus_im,zeta_center_re,zeta_center_im,zeta_plus_abs,zeta_minus_abs,zeta_center_abs,dipole_re,dipole_im,dipole_strength,mirror_abs_gap,normalized_gap,asymmetry_score
14.134725141,0.01,0.007754276243093587,0.002589242289965219,-0.007923932923971456,0.0003781713027818608,-5.377634795713099e-05,0.0014884932521042863,0.008175143771845845,0.007932951942237301,0.0014894643524299602,0.015678209167065044,0.0022110709871833584,0.015833353327599508,0.0002421918296085443,0.015035410386641695,0.015273471351718854
14.134725141,0.02,0.015500761111709055,0.003679526065637583,-0.015856740585810283,-0.0007407151141021955,-5.377634795713099e-05,0.0014884932521042863,0.015931494189497047,0.01587403165191321,0.0014894643524299602,0.03135750169751934,0.004420241179739779,0.0316675140293171,5.7462537583836265e-05,0.0018066840922661622,0.0018638972861045448
14.134725141,0.05,0.0383760248898019,0.006880184185473005,-0.040036721941920685,-0.004136678284611044,-5.377634795713099e-05,0.0014884932521042863,0.03898789838871451,0.04024985976478733,0.0014894643524299602,0.07841274683172259,0.01101686247008405,0.0791828903512657,0.0012619613760728177,0.01592626300239473,0.01718735053941877
14.134725141,0.1,0.07531751699465887,0.011948576351563453,-0.08164462512635046,-0.00983023983547703,-5.377634795713099e-05,0.0014884932521042863,0.07625940494830699,0.08223428985067784,0.0014894643524299602,0.15696214212100934,0.021778816187040483,0.15846586665185922,0.0059748849023708445,0.03769793435599252,0.043671770194699776
14.134725141,0.15,0.11083060210711657,0.016649995867875297,-0.12495965467185706,-0.015305079881944602,-5.377634795713099e-05,0.0014884932521042863,0.11207428217850095,0.12589345005163086,0.0014894643524299602,0.23579025677897364,0.0319550757498199,0.2379457334311146,0.013819167873129909,0.05807160384150649,0.07188949420909488
21.022039639,0.01,0.010951268275168648,-0.0008972769484325865,-0.011243048468394818,0.004405243923405602,-8.020783526789807e-05,0.0017253621274308131,0.010987965360197666,0.012075276927978797,0.0017272254536136687,0.022194316743563466,-0.005302520871838188,0.022818948777494137,0.0010873115677811317,0.04714478364295508,0.048220578046029715
21.022039639,0.02,0.021852966656839532,-0.0034645706610983537,-0.022538855311823352,0.0071444085804795564,-8.020783526789807e-05,0.0017253621274308131,0.022125898887292328,0.02364408113528918,0.0017272254536136687,0.044391821968662884,-0.01060897924157791,0.045641913831977854,0.001518182247996852,0.03316982544558305,0.0346837597603921
21.022039639,0.05,0.05379503021859804,-0.01085146436721784,-0.05724030025004244,0.015740438550847728,-8.020783526789807e-05,0.0017253621274308131,0.05487858922323783,0.05936508551739837,0.0017272254536136687,0.11103533046864048,-0.02659190291806557,0.11417518956885521,0.004486496294160543,0.03927128836100636,0.043755095154237436
21.022039639,0.1,0.10457973792392276,-0.02219992961424763,-0.11788863279246184,0.03149598331510358,-8.020783526789807e-05,0.0017253621274308131,0.10691004844781392,0.12202346785213569,0.0017272254536136687,0.2224683707163846,-0.053695912929351206,0.2288567828020817,0.015113419404321773,0.06601663071701616,0.08112498443434557
21.022039639,0.15,0.1524580039378621,-0.03247119111983027,-0.18223484707012522,0.04944019204999662,-8.020783526789807e-05,0.0017253621274308131,0.15587758407627994,0.18882232939091836,0.0017272254536136687,0.3346928510079873,-0.08191138316982688,0.3445704270662951,0.032944745314638424,0.09557514820140345,0.12850751783408548
25.01085758,0.01,0.013046089997495552,0.006354869306114666,-0.012850784732994353,-0.002250009820462943,0.00018118694231496557,0.002090976026883871,0.014511541204177858,0.013046271975010348,0.002098811438187934,0.025896874730489905,0.008604879126577609,0.02728904662295291,0.0014652692291675096,0.053170736721377,0.054621715434743416
25.01085758,0.02,0.025746093779525147,0.010541597467787487,-0.02605203073427342,-0.0066678768697698105,0.00018118694231496557,0.002090976026883871,0.027820615055691472,0.02689179962981165,0.002098811438187934,0.05179812451379857,0.017209474337557297,0.054582155601643506,0.0009288154258798205,0.016976319382334334,0.017902923488404103
25.01085758,0.05,0.06287789001415865,0.022639857843887966,-0.06669405566517529,-0.020378229321234377,0.00018118694231496557,0.002090976026883871,0.06682957590636115,0.06973786124723297,0.002098811438187934,0.12957194567933394,0.04301808716512234,0.13652635251289155,0.0029082853408718135,0.021295598727542456,0.024203009146392
25.01085758,0.1,0.12165920658353678,0.04128441104072752,-0.13803415787409778,-0.04469338920070148,0.00018118694231496557,0.002090976026883871,0.12847320787430905,0.14508937858525942,0.002098811438187934,0.2596933644576346,0.08597780024142901,0.2735558913232923,0.016616170710950368,0.06073992400055838,0.07735568804944017
25.01085758,0.15,0.17676943434562914,0.05809254227872838,-0.21415583749833236,-0.07062794919223393,0.00018118694231496557,0.002090976026883871,0.18607035332712069,0.22550172935415133,0.002098811438187934,0.39092527184396153,0.12872049147096232,0.4115720266135702,0.039431376027030646,0.0958067315211147,0.13523810217648208
30.424876126,0.01,0.00970043939944738,-0.006228727275384084,-0.012999717347849157,0.007205005681791609,-0.0015694951172432864,0.0004079354280597272,0.011528034004697622,0.014862865066958648,0.0016216430669283516,0.022700156747296536,-0.013433732957175693,0.026377306487140435,0.003334831062261026,0.12636291977800115,0.12969603324159543
