asymmetry_level,case_id,coherence_magnitude,symmetry_gap_mean_abs,observed_hafnian_theta,predicted_uniform_theta,uniform_phase_residual,mean_edge_phase
0.200000,asym_0.20_15,0.9972786238,0.0999520072,0.0909206508,0.0875583324,0.0033623184,0.0291861108
0.200000,asym_0.20_16,0.9959167323,0.1201132798,0.0285751174,0.0252370341,0.0033380833,0.0084123447
0.350000,asym_0.35_01,0.9984730147,0.2076713137,0.0404515445,0.0377179682,0.0027335764,0.0125726561
0.350000,asym_0.35_02,0.9961191295,0.2190107070,-0.0568990017,-0.0573102102,0.0004112085,-0.0191034034
0.350000,asym_0.35_03,0.9977049803,0.1858492000,0.0309152313,0.0333921354,-0.0024769041,0.0111307118
0.350000,asym_0.35_04,0.9970474859,0.1729384361,-0.0474578271,-0.0511349446,0.0036771175,-0.0170449815
0.350000,asym_0.35_05,0.9980656989,0.2448376323,-0.0307595704,-0.0325943558,0.0018347855,-0.0108647853
0.350000,asym_0.35_06,0.9945690522,0.2303842644,-0.0832585492,-0.0777228126,-0.0055357366,-0.0259076042
0.350000,asym_0.35_07,0.9979769300,0.1804949463,-0.0512705153,-0.0515795801,0.0003090649,-0.0171931934
0.350000,asym_0.35_08,0.9966975889,0.1975493668,0.0510192222,0.0507147699,0.0003044523,0.0169049233
0.350000,asym_0.35_09,0.9976738554,0.1696464190,0.0192924230,0.0177825655,0.0015098575,0.0059275218
0.350000,asym_0.35_10,0.9972247876,0.2053417785,0.0518609046,0.0516506582,0.0002102464,0.0172168861
0.350000,asym_0.35_11,0.9988360847,0.1821384449,-0.0091173622,-0.0119289779,0.0028116157,-0.0039763260
0.350000,asym_0.35_12,0.9961059288,0.1989146162,0.0460233160,0.0463977736,-0.0003744576,0.0154659245
0.350000,asym_0.35_13,0.9987316116,0.2118354177,-0.0232406787,-0.0217792621,-0.0014614166,-0.0072597540
0.350000,asym_0.35_14,0.9964864918,0.1892151257,0.1459500580,0.1457917458,0.0001583122,0.0485972486
0.350000,asym_0.35_15,0.9963000446,0.2058675757,-0.0402540809,-0.0354960823,-0.0047579986,-0.0118320274
0.350000,asym_0.35_16,0.9956666434,0.1879263557,0.0351121702,0.0436820574,-0.0085698873,0.0145606858
0.500000,asym_0.50_01,0.9962254566,0.2743370948,-0.0760312320,-0.0756034988,-0.0004277332,-0.0252011663
0.500000,asym_0.50_02,0.9961081761,0.2909823240,-0.0009800318,-0.0036664301,0.0026863983,-0.0012221434
0.500000,asym_0.50_03,0.9982801703,0.2642128225,-0.0296462614,-0.0299516603,0.0003053989,-0.0099838868
0.500000,asym_0.50_04,0.9987039578,0.2935023797,-0.0598402523,-0.0584624038,-0.0013778485,-0.0194874679
0.500000,asym_0.50_05,0.9984388653,0.3088083226,0.0199564077,0.0211700344,-0.0012136267,0.0070566781
0.500000,asym_0.50_06,0.9980463270,0.2848489893,-0.0109510156,-0.0113561185,0.0004051028,-0.0037853728
0.500000,asym_0.50_07,0.9990947727,0.3351303672,-0.0001905526,-0.0014603074,0.0012697548,-0.0004867691
0.500000,asym_0.50_08,0.9970135640,0.3011400688,0.0484975826,0.0476243358,0.0008732468,0.0158747786
0.500000,asym_0.50_09,0.9973614823,0.2905596285,-0.0852520244,-0.0835009405,-0.0017510839,-0.0278336468
0.500000,asym_0.50_10,0.9977583772,0.2684814065,0.0022595971,0.0050187854,-0.0027591883,0.0016729285
0.500000,asym_0.50_11,0.9973282162,0.3377878387,-0.0489673252,-0.0500819300,0.0011146048,-0.0166939767
0.500000,asym_0.50_12,0.9960162776,0.2899151332,-0.0017377860,0.0028660460,-0.0046038320,0.0009553487
0.500000,asym_0.50_13,0.9981014630,0.2696637136,0.0487740515,0.0495881211,-0.0008140696,0.0165293737
0.500000,asym_0.50_14,0.9987989653,0.2888929128,0.0988332698,0.0997611485,-0.0009278787,0.0332537162
0.500000,asym_0.50_15,0.9941754556,0.2975050049,-0.0983058994,-0.1005503075,0.0022444082,-0.0335167692
0.500000,asym_0.50_16,0.9982399642,0.2849386172,0.0694556132,0.0659980012,0.0034576120,0.0219993337
0.700000,asym_0.70_01,0.9971208179,0.4239028360,0.0192885185,0.0233819679,-0.0040934494,0.0077939893
0.700000,asym_0.70_02,0.9966057075,0.4043094379,-0.0347282988,-0.0369355500,0.0022072511,-0.0123118500
0.700000,asym_0.70_03,0.9974518482,0.4055533880,0.0007270495,0.0023617039,-0.0016346545,0.0007872346
0.700000,asym_0.70_04,0.9973965821,0.3895570064,0.1127837093,0.1121055264,0.0006781828,0.0373685088
