case_id,family,expression,run,result,psi_sig,ei_sig,final_theta,cumulative_theta,trace_len
C2,assoc_mul_pair_c,2 * (3 * 4),1,24.0,941e0d4616b1dc13b9397234499ae9f190a55624c5fb3ffe02220ff615ee2d27,0189c7798b952e08e552d774fcce55e046d3b289869237b15670c1ab54c56aa6,0.0,1.0471975511965974,2
C2,assoc_mul_pair_c,2 * (3 * 4),2,24.0,941e0d4616b1dc13b9397234499ae9f190a55624c5fb3ffe02220ff615ee2d27,0189c7798b952e08e552d774fcce55e046d3b289869237b15670c1ab54c56aa6,0.0,1.0471975511965974,2
C2,assoc_mul_pair_c,2 * (3 * 4),3,24.0,941e0d4616b1dc13b9397234499ae9f190a55624c5fb3ffe02220ff615ee2d27,0189c7798b952e08e552d774fcce55e046d3b289869237b15670c1ab54c56aa6,0.0,1.0471975511965974,2
C2,assoc_mul_pair_c,2 * (3 * 4),4,24.0,941e0d4616b1dc13b9397234499ae9f190a55624c5fb3ffe02220ff615ee2d27,0189c7798b952e08e552d774fcce55e046d3b289869237b15670c1ab54c56aa6,0.0,1.0471975511965974,2
C2,assoc_mul_pair_c,2 * (3 * 4),5,24.0,941e0d4616b1dc13b9397234499ae9f190a55624c5fb3ffe02220ff615ee2d27,0189c7798b952e08e552d774fcce55e046d3b289869237b15670c1ab54c56aa6,0.0,1.0471975511965974,2
D1,distrib_pair_d,(1 + 2) * 3,1,9.0,c20d55167a3f13bb123e569c18cb13533e3d6a286470ab44ccb84f258f506371,ef4f799d7244f8e26a0235b9a5b98ee5458b298c3bb7971d65223c978681fffd,0.0,0.5235987755982987,2
D1,distrib_pair_d,(1 + 2) * 3,2,9.0,c20d55167a3f13bb123e569c18cb13533e3d6a286470ab44ccb84f258f506371,ef4f799d7244f8e26a0235b9a5b98ee5458b298c3bb7971d65223c978681fffd,0.0,0.5235987755982987,2
D1,distrib_pair_d,(1 + 2) * 3,3,9.0,c20d55167a3f13bb123e569c18cb13533e3d6a286470ab44ccb84f258f506371,ef4f799d7244f8e26a0235b9a5b98ee5458b298c3bb7971d65223c978681fffd,0.0,0.5235987755982987,2
D1,distrib_pair_d,(1 + 2) * 3,4,9.0,c20d55167a3f13bb123e569c18cb13533e3d6a286470ab44ccb84f258f506371,ef4f799d7244f8e26a0235b9a5b98ee5458b298c3bb7971d65223c978681fffd,0.0,0.5235987755982987,2
D1,distrib_pair_d,(1 + 2) * 3,5,9.0,c20d55167a3f13bb123e569c18cb13533e3d6a286470ab44ccb84f258f506371,ef4f799d7244f8e26a0235b9a5b98ee5458b298c3bb7971d65223c978681fffd,0.0,0.5235987755982987,2
D2,distrib_pair_d,(1 * 3) + (2 * 3),1,9.0,9bcc2bd3089ecf48402cd774d81b990735b68d1b9de18bf3485bd4c965744496,5182f6e1ffdf8650561c945427549ad7fa94c111621829a03d170db767a338a0,0.0,1.0471975511965974,3
D2,distrib_pair_d,(1 * 3) + (2 * 3),2,9.0,9bcc2bd3089ecf48402cd774d81b990735b68d1b9de18bf3485bd4c965744496,5182f6e1ffdf8650561c945427549ad7fa94c111621829a03d170db767a338a0,0.0,1.0471975511965974,3
D2,distrib_pair_d,(1 * 3) + (2 * 3),3,9.0,9bcc2bd3089ecf48402cd774d81b990735b68d1b9de18bf3485bd4c965744496,5182f6e1ffdf8650561c945427549ad7fa94c111621829a03d170db767a338a0,0.0,1.0471975511965974,3
D2,distrib_pair_d,(1 * 3) + (2 * 3),4,9.0,9bcc2bd3089ecf48402cd774d81b990735b68d1b9de18bf3485bd4c965744496,5182f6e1ffdf8650561c945427549ad7fa94c111621829a03d170db767a338a0,0.0,1.0471975511965974,3
D2,distrib_pair_d,(1 * 3) + (2 * 3),5,9.0,9bcc2bd3089ecf48402cd774d81b990735b68d1b9de18bf3485bd4c965744496,5182f6e1ffdf8650561c945427549ad7fa94c111621829a03d170db767a338a0,0.0,1.0471975511965974,3
