dimension,phase_sigma,asymmetry_level,case_id,coherence_magnitude,symmetry_gap_mean_abs,residual_abs
10,0.300000,0.550000,d10_s0.30_a0.55_k3,0.9634811215,0.2949316831,0.0284256861
10,0.600000,0.000000,d10_s0.60_a0.00_k1,0.8251025079,0.0000000000,0.0245382853
10,0.600000,0.000000,d10_s0.60_a0.00_k2,0.8358370208,0.0000000000,0.0486999874
10,0.600000,0.000000,d10_s0.60_a0.00_k3,0.8402236154,0.0000000000,0.0114028618
10,0.600000,0.150000,d10_s0.60_a0.15_k1,0.8550406122,0.0756441640,0.0335234483
10,0.600000,0.150000,d10_s0.60_a0.15_k2,0.7878391459,0.0876030068,0.0736667636
10,0.600000,0.150000,d10_s0.60_a0.15_k3,0.8433644865,0.0923598048,0.0222838010
10,0.600000,0.350000,d10_s0.60_a0.35_k1,0.8204847247,0.2260111903,0.0086528118
10,0.600000,0.350000,d10_s0.60_a0.35_k2,0.7902722268,0.1738767324,0.1063960146
10,0.600000,0.350000,d10_s0.60_a0.35_k3,0.8458929956,0.2093301349,0.0839183571
10,0.600000,0.550000,d10_s0.60_a0.55_k1,0.8474734624,0.2751917793,0.0205512608
10,0.600000,0.550000,d10_s0.60_a0.55_k2,0.8161019774,0.3112380370,0.0861466533
10,0.600000,0.550000,d10_s0.60_a0.55_k3,0.8430925961,0.3132996604,0.0770328717
10,1.100000,0.000000,d10_s1.10_a0.00_k1,0.6452483570,0.0000000000,0.2814504874
10,1.100000,0.000000,d10_s1.10_a0.00_k2,0.5913683891,0.0000000000,0.0986055642
10,1.100000,0.000000,d10_s1.10_a0.00_k3,0.6144503616,0.0000000000,0.2963116572
10,1.100000,0.150000,d10_s1.10_a0.15_k1,0.6358106310,0.0790286390,0.1356516905
10,1.100000,0.150000,d10_s1.10_a0.15_k2,0.6243256548,0.0839907129,0.3693637585
10,1.100000,0.150000,d10_s1.10_a0.15_k3,0.5741624495,0.0812045971,0.4676667745
10,1.100000,0.350000,d10_s1.10_a0.35_k1,0.6451504525,0.2301195535,0.0716428004
10,1.100000,0.350000,d10_s1.10_a0.35_k2,0.4951937383,0.2098937924,0.7219380211
10,1.100000,0.350000,d10_s1.10_a0.35_k3,0.6471459429,0.2150657049,0.0217673980
10,1.100000,0.550000,d10_s1.10_a0.55_k1,0.4846070446,0.3105441220,1.9316547510
10,1.100000,0.550000,d10_s1.10_a0.55_k2,0.5042912359,0.2864697831,0.8369450056
10,1.100000,0.550000,d10_s1.10_a0.55_k3,0.5573929532,0.3285073685,0.7643915556
